id,"engname","korname","est","location","location_detail","phone","homepage","description","logo_image","brand_image"
29,"CRAFTWORKS","크래프트 워크스","2012","서울시 용산구","서울시 용산구 녹사평대로238 명산빌딩1층","02-794-2537","http://www.craftworkstaphouse.com/","크래프트웍스 한국 수제 맥주의 영향력 있는 개척자로, 서울에 더욱 세련된 맥주 문화를 소개하기 위해 친한 친구 몇 명이 모여 만들었다. 크래프트웍스 4년 동안 9개의 시그니처 맥주를 만든 데 그치지 않고, 평범한 편의점 맥주 이상의 것을 찾는 사람들에게 다가가기 위해 계속해서 노력한다. 크래프트웍스의 맥주는 한국의 유명하고 매력적인 7개의 산악 지대에서 영감을 받았고, 높은 수질로 유명한 경기도 산악지역의 샘물을 이용하여 만든다. 전국 100곳 이상에서 크래프트웍스 맥주를 경험할 수 있을 뿐만 아니라, 4곳의 크래프트웍스 지점에서 음식의 기쁨을 찾는 사람들은 따뜻한 홈스타일 햄버거, 푸짐한 샐러드, 파스타 및 고기와 치즈 플래터까지 다양하고 색다른 기쁨을 제공하는 메뉴를 경험할 수 있다. 더할 나위 없이 여유롭고, 따뜻하며 가식 없는 분위기에서 일상생활에서의 탈출을 기대해도 좋겠다.","brewery/29/logo_image.png","brewery/29/brand_image.png"
30,"PYRUS","파이루스","2015.5","서울시 용산구","서울시 용산구 이태원동 136-1 지하1층","070-7773-6337","https://www.facebook.com/pyrustaproom/","로비본드(ROVIBOND)가 파이루스로 상호를 변경하였다. 이곳의 자체 개발 메뉴는 4가지 종류. 그중 과일의 풍미가 가득한 트로피컬 에일을 첫 잔으로 시작하는 것을 추천한다. 파피루스의 안주류도 정말 맛있는데 보기에도 치즈치즈한 꽈뜨로 포르마지 치즈 피자와 맥앤치즈는 이곳의 대표 메뉴. 오리지널 탭 이외에 게스트 탭은 매번 조금씩 바뀔 수 있으니 페이스 북을 참조하자. 이태원역보다는 녹사평역이 더 가깝다.","brewery/30/logo_image.png","brewery/30/brand_image.png"
31,"VANEHEIM BREWERY","브로이하우스 바네하임","2004. 7","서울시 노원구","서울시 노원구 공릉로 32길 54","02-948-8003","https://www.facebook.com/vaneheimbrewery","바네하임을 이끄는 김정하 대표는 국내 크래프트 맥주업계에서 가장 두각을 드러내는 여성 브루어(brewer·양조가)이다. 브루펍(brewpub·맥주를 직접 빚어 파는 펍) 대표로선 국내에서 유일한 여성이다. 그는 2004년 7월, 20대 중반의 나이로 바네하임을 세운 후 10년 넘게 경영과 양조를 맡고 있다. 바네하임의 맥주는 빼어난 균형감이 매력이다. 향이나 맛을 직접 뽐내기보다 뭉근한 매력을 덕으로 삼는다. 바네하임의 대표 맥주 '프레아(Frea) 에일'은 천도 복숭아의 상큼함과 자두의 향긋함이 돋보인다. 프레아 에일이 조금 가볍다 싶으면 씁쓸한 맛이 살짝 강조된 스타우트 계열 '노트(Nott) 에일'도 있다.","brewery/31/logo_image.png","brewery/31/brand_image.png"
32,"WEIZENHAUS","바이젠 하우스","2003.2","충청도 공주","충청남도 공주시 우성면 성곡길 125","1661-5869","http://weizenhaus.com","바이젠하우스는 2003년 부터 대전/충남 지역 최초로 수제맥주 양조를 시작하여 많은 경험과 연구개발을 통해 자체 레시피를 보유하고, 다양한 브랜드 맥주를 생산하고 있는 \"수제맥주\" 전문업체 이다.","brewery/32/logo_image.png","brewery/32/brand_image.png"
33,"FUNKYTAPHOUSE","펑키탭하우스","2015","서울시 서초구","서울시 서초구 서초2동 1327-23 2층","02-588-4156","https://www.facebook.com/funkytaphouse/","Funky Taphouse에서는 자체 레시피 맥주를 비롯하여 그 외 다양한 수입 크래프트 맥주를 맛 볼 수 있으며, 맥주 본연의 맛을 조금더 풍부하게 느낄 수 있는 20종류 이상의 다양한 식사, 안주를 선사한다.","brewery/33/logo_image.png","brewery/33/brand_image.png"
34,"DEVIL'S DOOR","데블스도어","2014.11","서울시 서초구","서울시 서초구 사평대로 205 센트럴시티 반포천 복개주차장","02-6282-4466","http://www.shinsegaefood.com/devilsdoor/index.sf","데블스도어는 매장에서 직접 만든 수제 맥주를 즐길 수 있는 펍(Pub)과 레스토랑을 접목시킨 아메리칸 스타일의 게스트로펍이다. 국내 최고의 양조 전문가(Brew Master)가 개발한 레시피를 230여년 전통의 독일 카스파리(Caspary) 양조설비로 직접 생산한다. 페일에일(Pale Ale), IPA(India Pale Ale), Stout 등 3종류의 에일맥주와 함께 국내에서 접하기 어려웠던 해외의 다양한 에일맥주 20여종을 게스트(Guest) 맥주로 함께 선보인다. 또한 데블스도어에서는 신세계푸드 R&D센터의 셰프들이 직접 개발한 맥주와 가장 잘 어울리는 Burger, Pizza, Bar snack, Entree 등 30여종의 다양한 메뉴를 수제 맥주와 함께 합리적인 가격으로 즐길 수 있다.","brewery/34/logo_image.png","brewery/34/brand_image.png"
35,"HYOJA BEER","효자맥주","2015","서울시 용산구","서울특별시 용산구 이태원1동 우사단로 31-1 1층","","https://www.facebook.com/pg/hyojabeer/","이우재와 이규찬은 맥주를 만든다. 맥주는 우리에게 놀이의 수단이다. 작업과 노는 것을 분리하지 않으며 맥주를 소재로 다양한 아웃풋을 만들어 사람들과 소통한다. 우리는 맛있다.' 
이태원에 위치한 효자맥주 공간은 ‘MOSC’라는 게스트하우스 건물 1층의 7평 남짓한 작은 공간을 사용한다. 이곳은 효자맥주의 홈브루잉 작업 공간이며 맥주를 만드는 워크숍을 정기적으로 열 예정이다. 또한 이우재와 이규찬의 작업물과 효자맥주와 관계 맺고 있는 동료 작업자, 뮤지션들의 작업물 등을 소개하는 쇼룸으로 이용될 예정이다.

","brewery/35/logo_image.png","brewery/35/brand_image.png"
36,"MALONEY'S BREWING COMPANY","멀로니스 브루잉 컴퍼니","2009","서울시 용산구","서울시 용산구 이태원동 2동 225-67","02-3785-1675","https://www.facebook.com/MaloneysBrewingCompany/","말로니스 펍 & 그릴은 경리단에서 몇 년 동안 자리를 지켜온 로컬 펍이다. 2009년부터 홈메이드 수제버거와 다양한 수입맥주 그리고 말로니스의 이름을 걸고 출시한 크래프트 비어로 지역주민들의 사랑을 받고 있다. 말로니스의 모토는 \"맥주와 함께 누구나 어울릴 수 있는 공간\"이며 자유롭고 편안한 분위기를 즐길 수 있다. ","brewery/36/logo_image.png","brewery/36/brand_image.png"
37,"HOPMORI BREWING COMPANY","홉머리 브루잉 컴퍼니","2016.1","서울시 강남구","서울시 강남구 도산대로 11길 15","02-544-7720","https://www.facebook.com/hopmori/","홉머리 브루잉 컴퍼니(Hop Mori Brewing Company)는 브루마스터 트로이 지첼스버거가 내놓는 참신하고 질 높은 수제맥주로 유명한 곳이다. 'Drink Local'이라는 캐치프레이즈를 내걸고 자신들만의 독특한 수제맥주를 만들어 공급하고 있다.","brewery/37/logo_image.png","brewery/37/brand_image.png"
38,"HIDDENTRACK","히든트랙","2014.4","서울시 동대문구","서울시 동대문구 제기동 148-20 B1","010-9737-9744","http://thehiddentrack.modoo.at","히든트랙은 서울 동대문구에서 유일한 자가양조 크래프트 비어펍이다. 매장 안에 직접 양조시설을 갖춰두고 한 달에 2~4번씩 맥주를 담근다. 크래프트 비어펍 가운데 드물게 직접 만든 맥주만을 취급한다. 이들은 위탁 양조 과정에서 발생하는 미묘한 차이도 용납하지 않는다. 레시피는 모두 독자 개발한다.","brewery/38/logo_image.png","brewery/38/brand_image.png"
39,"JEJUSIEN","제주지앵","2015","제주도","제주도 제주시 청귤로3길 42-7","064-724-3650","https://www.instagram.com/jejusien_official/","강규언 대표는 오래 전부터 맥주제조에 대한 꿈을 품고 맥주를 만들어 왔다. 그러던 중에 우연히 삿포로 맥주에 관한 다큐멘터리를 보았다. 삿포로 맥주가 삿포로를 대표하는 상품이라는 대목이 눈길을 끌었다. 제주를 대표하는 맥주를 만들면 어떨까? 그 물음표 끝에 감귤맥주에 대한 아이디어가 떠올랐고, 창업 공모전에 지원하여 제주 도지사상과 제주 개발공사 사장상을 받았다. 그것이 제주지앵의 시작이었다. 제주도 공장이 완공되면 생산지가 제주도와 비제주권으로 나뉘는데, 수도권과 제주도 두 군데에서 생산 및 판매를 할 계획이다. 슬로건은 ‘제주도에 오면 꼭 마셔야 하는 맥주’, ‘제주도가 아니어도 마실 수 있는 맥주’.","brewery/39/logo_image.png","brewery/39/brand_image.png"
40,"BARBAROSA","바바로사","2002","경기도 성남시","경기도 성남시 분당구 분당로53번길 15 산호트윈스","031-707-7982","","바바로사브로이는 국내하우스맥주의 원년업체로 2002년 창업이후 분당 서현에 제1브로이를 필두로 분점인 수내점과 함께 분당 지역맥주로 14년간 수제맥주발전에 일익해 왔다. 2015년 새롭게 의왕시 IT밸리에 준공한 바바로사제2브로이에서는 14년에 기술력을 바탕으로 (필스너, 바이젠, 둥클레스, 페일에일, 벨지언윗비어, 임페리얼스타우트) 등을 생산 공급하고 있다. 또한 현재 이태원 두 매장에 위탁 생산맥주를 2014년부터 생산 공급하고 있으며 그 외 매장들에 바바로사브로이 맥주가 공급되고 있다.","brewery/40/logo_image.png","brewery/40/brand_image.png"
41,"GERMANHAUS","저멘하스","2013.12","경기도 의정부시","경기도 의정부시 신흥로 224","031-855-1000","http://germanhaus.compy.kr","브루이마스터 출신이 직접 만든 정통 하우스 맥주를 맛볼 수 있는 GERMAN HAUS(저멘하스)는 의정부시 신흥로 224(의정부동)에 위치하고 있다. GERMAN HAUS(대표 정병석)는 100%독일산 맥주 제조장비(KASPARSCHUZ), 테마형 인테리어 공간, 80평 규모의 어린이 놀이방, 환상적인 조명시설의 공연무대 등 최고의 시설과 분위기를 자랑하는 엔터테인먼트형 패밀리 레스토랑으로 알려져 있다.","brewery/41/logo_image.png","brewery/41/brand_image.png"
42,"JESPI","제스피","2013.7","제주도","제주시 연동 신대로 16길, 44","064-713-7744","https://www.facebook.com/jejujespi","제주(jeju) + 스피릿(spirit) = ‘제스피 맥주’ 제주산 발아로 직접 만든 수제 맥주 전문점으로 오직 제주도에서만 맛볼 수 있는 맥주. 넓은 홀과 고급스러운 인테리어가 먼저 눈에 띈다. 지속적인 연구 끝에 탄생한 제스피 맥주는 제주도 관광객의 시선을 끄는 명물로 자리잡고 있다. ","brewery/42/logo_image.png","brewery/42/brand_image.png"
43,"CROWSBREWING","까마귀 브루잉","2016","경기도 오산시","경기도 오산시 오산로 290번길 4","","https://www.facebook.com/crowsbrewing/","까마귀 브루잉은 함께 즐기는 맛있는 맥주를 만든다. “이걸 모르고 맥주 맛을 안다고 할 수 있어?” 맥부심을 부리는 친구들로부터 맥스플레인을 당해온 초심자라면, 까마귀 브루잉의 ‘오로라 페일에일’로 시작해도 좋다. 씁쓸한 맛보다는 가볍고 순한맛을 더 선호해 온 입문자에게 딱이다. 홉의 캐릭터를 강조해, 씁쓸하지 않으면서도 꽃과 시트러스, 과일 향을 부각했다. 매장은 오산 오색시장에 있다.","brewery/43/logo_image.png","brewery/43/brand_image.png"
44,"BREWERY304","브루어리 304","2016","충청도 아산","충청남도 아산시 음봉면 동암리 304-8","010-2288-1331","https://brewery304.com","브루어리304에서는 어떻게 하면 최고의 크래프트 맥주를 더 많은 사람들에게 제공할지 고민한다. 화사한 열대과일 맛의 IPA, 초콜릿같은 달콤함을 가진 Porter, 은은한 솜사탕 맛의 Belgian Ale,
부드러운 캐러멜 풍미의 Amber Ale 등, 모두가 느낄 수 있는 한 잔의 짜릿함을 양조한다.","brewery/44/logo_image.png","brewery/44/brand_image.png"
45,"DAMJU BREWERY","담주브로이","2013.5","전라도 담양","전라남도 담양군 담양읍 삼다리 23-1","061-381-6788","https://www.facebook.com/damju6788/","어디에서도 맛볼 수 없는 대나무맥주와 죽순소시지, 죽순떡갈비를 직접 맛보고 즐길 수 있는 공간이다. 맛있고 정성 가득하게, 타음식점들과는 차별화 된 맛을 선사한다. 1층에는 대나무맥주 양조장과 소시지 및 떡갈비 제조공장이 있고, 2층에서는 음식들을 직접 조리하여 판매하고 있다.","brewery/45/logo_image.png","brewery/45/brand_image.png"
46,"GDC BREWERY","GDC 브루어리","2013.5","전라도 고창","전라북도 고창군 부안면 복분자로 434-129 ","063-561-4225","http://www.gdcbeer.co.kr/index.php","Gochang Dream Craft는 2013년 설립된 프리미엄 수제맥주 제조 전문회사로서 20년 대기업 경력의 양조 기술력을 바탕으로 세계 수준의 전통 독일식 수제맥주 제조와 더불어 전북지역에서 생산된 고품질의 국산 보리를 이용하여 자체 생산한 맥아를 원료로 하는 순수 국산 수제맥주도 함께 만들어 가는 회사이다. 단조로운 기존의 맥주시장과 우후죽순 생겨나는 수제맥주들 속에서 맥주 본연의 맛을 잃지 않으면서도 GDC만의 특색을 입힌 맥주를 만들고자 함이 GDC가 가진 맥주에 대한 지향점이며 소명 의식이다. 더불어 맥주 보리 가공 사업을 통한 관내 생산 농가의 소득 향상 및 지역 고용인력 창출을 통한 지역 경제 발전에 보탬이 되는 큰 주춧돌 역할을 담당할 수 있도록 노력하고 있으며 '우리만의 맛 우리만의 한국 맥주'를 만들려 한다.","brewery/46/logo_image.png","brewery/46/brand_image.png"
47,"FINGERCRAFT","핑거크래프트","2002","부산시 동래구","부산광역시 동래구 온천천로 54","010-2773-7195","https://www.instagram.com/fingercraft/","자체 개발 레시피로 카브루, 버드나무 등 양조장을 가진 유명 브루어리와 OEM 방식 또는 협업을 통해 맥주를 생산하고 있다. 특히 맥주를 양조하는 김성호 과장은 카브루에서 양조 경험을 쌓고 부산으로 내려와 브루어리를 열었다. 탭 리스트는 고정돼 있지 않고 분기별로 업데이트 돼 보다 다양한 에일 맥주를 선보이
고 있다. 열대 과일향과 감귤향이 특징인 모자익 핑거는 핑거 크래프트 비어의 인기 메뉴다. 미국에서 유행하는 모자이크 홉 맥주. 그러나 눈여겨 볼 핑거 크래프트 비어의 또 다른 맥주는 바로 소라치 핑거! 국내 최초 소라치에이스 홉을 사용한 이 맥주는 알코올 도수를 낮추면서 레몬 크림 향을 느낄 수 있는 IPA. 이외에 국화 핑거, 블랙 스타우트 핑거 등을 생산하고 있다.","brewery/47/logo_image.png","brewery/47/brand_image.png"
48,"BRAU HOUSE","브로이 하우스","2004","강원도 원주시","강원도 원주시 남원로 642","033-764-2589","","원주 브로이 하우스는 원주 유일의 하우스 맥주 전문점이다. 강원도 원주에 처음으로 개업한 맥주를 직접 제조하는 호프집이다. 독일 전통 생맥주는 독일에서 온 브로우 마스터가 직접 맥주를 제조한다. 브로이하우스의 모든 맥주는 대량생산 맥주와달리 제조시 자연숙성 후 자연 여과시켜 맥주 고유의 효모/비타민/미네랄 성분이 그대로 살아있다. 바이젠은 술집에서 마시는 생맥주보다 탄산이 덜 하기 때문에 목넘김이 부드러우며 끝맛이 쌉싸름하다. 스타우트는 바이젠보다 쌉싸름한 맛이 좀 더 강하다. 안주로는 100% 수제 소시지를 즐기기 좋다. 비교적 넓은 홀에서 직접 맥주 제조기를 볼 수 있으며 다양한 모임을 위한 룸 또한 준비되어 있다.","brewery/48/logo_image.png","brewery/48/brand_image.png"
49,"VINCENT VAN GOLO","빈센트 반골로","2015.9","서울시 강남구","서웉특별시 강남구 신사동 510-9","070-4212-9010","http://golobrewery.com","열정으로 빚어낸 최상의 맥주를 꿈꾸는 Vincent van Golo Brewery는 2015년 9월 신사동 막다른 골목에 꿈을 만들어갈 공간을 찾는다. 도심 한복판에서 맥주를 제조의 과정과 장비를 곁에서 지켜보며 즐길 수 있는 Vincent van Golo Brewery는 가정집을 개조하여 1층은 제조설비가 위치하여 있으며, 2층 공간은 20인 이상의 단체모임이 가능한 독립공간과 15종류의 다양한 생맥주를 신선하게 제공할 수 있는 TAP이 갖추어진 Mini Bar로 등으로 구성되어 있다.","brewery/49/logo_image.png","brewery/49/brand_image.png"
50,"RICH BRAU","리치 브로이","2004","부산시 동래구","부산 동래구 사직로 48 호영빌딩","051-507-5090","https://www.facebook.com/beer0929/","항상 1도에 맞추어 있는 맥조 제조기를 구비하여 바이젠 (Weissbier), 둔켈 (Dunkel)을 마실 수 있다. 넓은 실내 공간에, 매주 2~3회 라이브 공연도 실시하고 있다. 좌석은 200석 이상 보유하고 있어서 대규모 모임을 가질 수 있다.","brewery/50/logo_image.png","brewery/50/brand_image.png"
51,"OKTOBERFEST","옥토버페스트","2002.7","서울시 서초구","서울시 서초구 서초동 1317-31","02-3481-8881","http://www.oktoberfest.co.kr","2002년 7월 우리나라에서 처음 문을 연 가스트하우스 브라우어라이 (Gast hausbrauerei = House Brewery) 이다. 오픈 초기부터 공중파 방송의 뉴스와 각종 프로그램에서 새로운 맥주문화의 명소로 소개했으며, 신문과 잡지 등에도 100회 이상 소개되었다. 한국인으로는 처음으로 독일 뮌헨공대에서 맥주양조공학 석사 학위를 받은 브라우마이스터 방호권의 책임 아래 양조되는 맥주는 독일산 맥아와 홉으로 만들고 있다. 독일 남부 전통 맥주의 맛과 향을 고스란히 보유하고 있으며, 몸에 좋은 효모가 살아 있다. 독일의 각 지방에서 유래한 독특하고 다양한 소시지와 함께 독일 남부 전통 돼지 족발 요리인 슈바이네학센은 옥토버훼스트를 찾은 독일인들로부터 “독일 현지에서 만든 것보다 더 바삭바삭하고 맛있다”는 평가를 받고 있다.","brewery/51/logo_image.png","brewery/51/brand_image.png"
52,"QUEEN'S HEAD","퀸스헤드","2003","경기도 수원시","경기도 수원시 영통구 영통동 1011-3","031-203-2669","","많은 사람들이 국산 맥주는 싱겁고 수입맥주는 비싸다라고 말한다. 퀸스헤드는 독일 유학때 마셨던 맥주 맛이 그리웠던 한 남자가 문을 연 맥주가게로, 홉 등을 수입해 수원 공장에서 자체 생산한 하우스 맥주만 판매한다. 독일에서 하우스 맥주 기술자를 초빙해 1년동안 배워 완벽하게 현지 맛을 재현해 낼수있었다고 한다. 술은 필스너, 바이젠, 둥클레스 세종류로 상태에 따라 맛이 다른 하우스 맥주의 특성 때문에 샘플을 맛보고 고를 수도 있다. 개조한 가정집과 가로등과 맥주통, 그리고 잔잔한 보사노바나 정겨운 1980년대 팝 음악은 독일 가정집에 초대받은 듯한 느낌을 준다.","brewery/52/logo_image.png","brewery/52/brand_image.png"
53,"BAND OF BREWERS","밴드 오브 브루어스","2014","서울시 강남구","위탁 양조(화수 브루어리)","02-568-6825","https://www.facebook.com/pubbob/","밴드오브 브루어스(비오비)는 다음 카페 '맥주 만들기 동호회'의 주력 멤버들이 오픈한 매장이다. 5종류 정도를 자체 레시피로 위탁생산하고, 수입 맥주 몇가지를 취급한다. 회사들이 몰려있는 선릉역에 위치하여 직장인들이 자주 찾는 곳이다.","brewery/53/logo_image.png","brewery/53/brand_image.png"
54,"BREITBACH BRAU","브라이트 바흐","2016","강원도 홍천군","강원도 홍천군 남면 난터길 44-17","033-432-8850","https://www.instagram.com/breitbach_brau/","물 맑고 공기 좋은 강원도 홍천에 Breitbach Brau가 설립되었습니다. Breit는 독일어로 넓은, Bach는 개울이라하여 홍천을 독일어로 직역한 것입니다. 생수공장을 리모델링하여 맑고 깨끗한 지하암반수와 세계적으로 인정받은 원료로 최고의 수제맥주를 생산합니다.","brewery/54/logo_image.png","brewery/54/brand_image.png"
